Attachment	Adj.	N2	acc	plaus
VA	klebrigen	Öl	1	4.35
VA	fleißigen	Tagelöhnern	0.85	3.7
VA	dicken	Seil	1	4.5
VA	heißen	Kaffee	0.85	4.3
VA	lokalen	Kräutern	0.95	4.5
VA	bunten	Streuseln	0.9	4.5
VA	primären	Anschluss	0.95	4
VA	gestrigen	Suppe	0.85	4.3
VA	modernen	Tastatur	0.85	3.75
VA	unhöflichen	Manieren	0.74	3.89
VA	stacheligen	Zäunen	0.74	3.63
VA	fraglichen	Argumenten	1	4.16
VA	viel	Liebe	0.89	4.37
VA	dreisten	Art	0.74	3.63
VA	anonymen	Telefon	0.89	4
VA	organischen	Butter	0.84	4.11
VA	rot-weißen	Absperrband	0.89	4.37
VA	neuen	Sattel	0.79	3.58
VA	wenigen	Fehlern	0.95	4.05
VA	aufwändigen	Behandlung	0.84	3.16
VA	schönen	Handschrift	0.84	4.16
VA	wertvollen	Information	0.79	3.89
VA	robusten	Stromnetz	0.84	4.42
VA	lauten	Musik	1	4.53
VA	langen	Stock	0.89	4.32
VA	cleveren	Ausreden	0.79	3.84
VA	dynamischen	Rhetorik	0.89	3.79
VA	digitalen	Funkgerät	0.89	4.47
VA	großen	Fernglas	0.95	4.25
VA	spitzen	Schnabel	1	3.65
VA	kräftigen	Flossen	0.9	3.65
VA	schmutzigen	Werkzeug	0.75	3.3
VA	aggressiven	Mückenspray	0.95	4.2
VA	wedelnden	Schwanz	0.9	3.7
VA	schrillen	Blaulicht	0.95	4.2
VA	weißen	Schnurrhaar	0.95	4.2
VA	brandneuen	Stethoskop	0.75	3.2
VA	dreckigen	Rohrzange	0.75	3.65
VA	wackeligen	Zahn	0.85	4.15
VA	pelzigen	Armen	0.85	3.4
VA	duftenden	Leckerli	0.95	3.95
VA	akustischen	Gitarre	0.9	3.45
VA	lieblichen	Geige	0.8	3.75
VA	klapprigen	Rollatoren	0.8	3.05
VA	faltbaren	Trage	0.8	4.25
VA	schweren	Motorrad	0.9	3.9
VA	sperrigen	Kinderwägen	0.95	3.55
VA	roten	Scheren	0.95	4.3
VA	grauen	Rüssel	0.95	4.15
VA	weichen	Schnauze	0.95	4.05
VA	gelben	Kellen	1	3.63
VA	bunten	Perücke	0.84	4.05
VA	nützlichen	Lupe	0.95	4.25
VA	piepsenden	Hörgerät	0.84	3.37
VA	langen	Beinen	0.95	3.95
VA	teuren	Cabrio	0.79	3.74
VA	gestohlenen	Auto	0.79	3.16
VA	zahmen	Verhalten	0.89	3.63
VA	langen	Lasso	0.95	4.3
VA	schwarzen	Pfeife	0.95	4.53
VA	magischen	Trank	0.89	3.84
VA	roten	Tuch	0.89	4.68
VA	rostigen	Flinte	0.95	4.32
VA	vollen	Wagen	0.89	4.16
VA	glänzenden	Panzer	0.79	3.89
VA	vergifteten	Pfeilen	1	4.4
VA	breiten	Tatzen	0.9	4
VA	klappernden	Gebiss	0.85	3.8
VA	silbernen	Tablett	0.8	3.6
VA	giftigen	Stachel	0.95	4.1
VA	gekrümmten	Horn	0.9	3.9
VA	brennenden	Fackel	0.95	4.3
VA	ledernen	Handschuh	0.9	3.7
VA	spitzen	Hörnern	0.9	4.35
VA	leuchtenden	Horn	0.95	3.75
VA	fetten	Warze	0.9	3.45
VA	stumpfen	Degen	1	4.3
VA	klobigen	Gewehr	0.95	3.7
VA	dreckigen	Trecker	1	4.1
VA	alten	Krückstock	0.95	3.7
VA	kostbaren	Violine	0.9	4.15
VA	prächtigen	Zepter	0.9	4
VA	wallenden	Tutu	0.95	4.5
VA	auffälligen	Gefieder	0.9	4.65
VA	tröstenden	Predigt	1	4.45
VA	jahrelangen	Erfahrung	0.9	4.5
VA	vollen	Eimer	0.95	4.05
VA	kleinen	Stacheln	1	4.3
VA	grässlichen	Waffen	0.9	3.85
VA	flinken	Tentakeln	0.85	4.05
VA	enormen	Geweih	0.9	4.45
VA	antiken	Schwert	1	4.4
VA	harten	Schale	0.75	3.2
VA	wendigen	Fühlern	0.95	3.7
VA	rosa	Pfoten	0.9	3.45
