

Date and Time:
0
02/15/2018 18:12:34
Subject	Trial	Word	Condition	PairNum	VerbNum	Attachment	Time	Duration	Answers	Response	ResponseTime
p4	13	großen	3	44	0	NaN	325387	344
p4	13	zuckrigen	3	44	0	NaN	325945	369
p4	13	Kristallen.	3	44	0	NaN	326529	385
p4	14	Der	2	60	71	VA	329562	319
p4	14	Käufer	2	60	71	VA	330096	344
p4	14	erreicht	2	60	71	VA	330654	360
p4	14	den	2	60	71	VA	331229	319
p4	14	Kassierer	2	60	71	VA	331763	369
p4	14	mit	2	60	71	VA	332346	319
p4	14	dem	2	60	71	VA	332879	319
p4	14	vollen	2	60	71	VA	333413	344
p4	14	Wagen.	2	60	71	VA	333971	344
p4	15	Die	1	29	28	NA	336897	319
p4	15	Fotografen	1	29	28	NA	337430	377
p4	15	benötigen	1	29	28	NA	338022	369
p4	15	eine	1	29	28	NA	338605	327
p4	15	Kamera	1	29	28	NA	339147	344
p4	15	mit	1	29	28	NA	339705	319
p4	15	dem	1	29	28	NA	340239	319
p4	15	wertigen	1	29	28	NA	340772	360
p4	15	Objektiv.	1	29	28	NA	341347	369
p4	16	Der	2	21	188	VA	344648	319
p4	16	Sänger	2	21	188	VA	345181	344
p4	16	winkt	2	21	188	VA	345740	335
p4	16	dem	2	21	188	VA	346290	319
p4	16	Fan	2	21	188	VA	346823	319
p4	16	mit	2	21	188	VA	347356	319
p4	16	der	2	21	188	VA	347890	319
p4	16	akustischen	2	21	188	VA	348423	385
p4	16	Gitarre.	2	21	188	VA	349023	360
p4	16	Wem wird gewunken?	4	21	188	VA	 	 	Fan/Sänger	0	353116
p4	17	Die	1	79	60	NA	354474	319
p4	17	Reiterin	1	79	60	NA	355008	360
p4	17	empfiehlt	1	79	60	NA	355583	369
p4	17	ein	1	79	60	NA	356166	319
p4	17	Pferd	1	79	60	NA	356699	335
p4	17	mit	1	79	60	NA	357249	319
p4	17	einem	1	79	60	NA	357783	335
p4	17	neuen	1	79	60	NA	358333	335
p4	17	Sattel.	1	79	60	NA	358883	352
p4	18	Die	3	59	0	NaN	361825	319
p4	18	beiden	3	59	0	NaN	362359	344
p4	18	Bildhauer	3	59	0	NaN	362917	369
p4	18	starben	3	59	0	NaN	363500	352
p4	18	im	3	59	0	NaN	364067	310
p4	18	Abstand	3	59	0	NaN	364592	352
p4	18	von	3	59	0	NaN	365159	319
p4	18	sechs	3	59	0	NaN	365692	335
p4	18	Jahren.	3	59	0	NaN	366242	352
p4	19	Der	2	3	137	VA	369468	319
p4	19	Elefant	2	3	137	VA	370001	352
p4	19	streichelt	2	3	137	VA	370568	377
p4	19	den	2	3	137	VA	371160	319
p4	19	Wärter	2	3	137	VA	371693	344
p4	19	mit	2	3	137	VA	372252	319
p4	19	dem	2	3	137	VA	372785	319
p4	19	grauen	2	3	137	VA	373318	344
p4	19	Rüssel.	2	3	137	VA	373877	352
p4	20	Der	1	113	62	NA	377244	319
p4	20	Arzt	1	113	62	NA	377777	327
p4	20	entdeckt	1	113	62	NA	378319	360
p4	20	den	1	113	62	NA	378894	319
p4	20	Säugling	1	113	62	NA	379428	360
p4	20	mit	1	113	62	NA	380003	319
p4	20	einem	1	113	62	NA	380536	335
p4	20	flauschigen	1	113	62	NA	381086	385
p4	20	Teddy.	1	113	62	NA	381686	344
p4	21	Der	1	103	24	VA	384928	319
p4	21	Produzent	1	103	24	VA	385462	369
p4	21	beliefert	1	103	24	VA	386045	369
p4	21	die	1	103	24	VA	386629	319
p4	21	Fabriken	1	103	24	VA	387162	360
p4	21	mit	1	103	24	VA	387737	319
p4	21	den	1	103	24	VA	388271	319
p4	21	seltenen	1	103	24	VA	388804	360
p4	21	Teilen.	1	103	24	VA	389379	352
p4	21	Wer hat die seltenen Teile?	4	103	24	VA	 	 	Produzent/Fabrik	1	392864
p4	22	Die	1	51	146	VA	394071	319
p4	22	Kundin	1	51	146	VA	394605	344
p4	22	verärgert	1	51	146	VA	395163	369
p4	22	die	1	51	146	VA	395747	319
p4	22	Kellnerin	1	51	146	VA	396280	369
p4	22	mit	1	51	146	VA	396863	319
p4	22	den	1	51	146	VA	397397	319
p4	22	unhöflichen	1	51	146	VA	397930	385
p4	22	Manieren.	1	51	146	VA	398530	369
p4	22	Wer hat unhöfliche Manieren?	4	51	146	VA	 	 	Kundin/Kellnerin	0	403140
p4	23	Der	2	61	110	VA	404481	319
p4	23	Käfer	2	61	110	VA	405015	335
p4	23	lockt	2	61	110	VA	405565	335
p4	23	den	2	61	110	VA	406115	319
p4	23	Specht	2	61	110	VA	406648	344
p4	23	mit	2	61	110	VA	407206	319
p4	23	dem	2	61	110	VA	407740	319
p4	23	glänzenden	2	61	110	VA	408273	377
p4	23	Panzer.	2	61	110	VA	408865	352
p4	24	Der	1	84	190	NA	411924	319
p4	24	Sekretär	1	84	190	NA	412457	360
p4	24	zeigt	1	84	190	NA	413032	335
p4	24	das	1	84	190	NA	413582	319
p4	24	Protokoll	1	84	190	NA	414116	369
p4	24	mit	1	84	190	NA	414699	319
p4	24	der	1	84	190	NA	415233	319
p4	24	schönen	1	84	190	NA	415766	352
p4	24	Handschrift.	1	84	190	NA	416333	394
p4	25	Das	3	41	0	NaN	419600	319
p4	25	Alibi	3	41	0	NaN	420133	335
p4	25	der	3	41	0	NaN	420683	319
p4	25	drei	3	41	0	NaN	421217	327
p4	25	Ganoven	3	41	0	NaN	421759	352
p4	25	löst	3	41	0	NaN	422325	327
p4	25	nicht	3	41	0	NaN	422867	335
p4	25	alle	3	41	0	NaN	423417	327
p4	25	Probleme.	3	41	0	NaN	423959	369
p4	26	Der	2	7	132	VA	427126	319
p4	26	Bock	2	7	132	VA	427659	327
p4	26	schubst	2	7	132	VA	428201	352
p4	26	den	2	7	132	VA	428768	319
p4	26	Wanderer	2	7	132	VA	429301	360
p4	26	mit	2	7	132	VA	429876	319
p4	26	dem	2	7	132	VA	430410	319
p4	26	gekrümmten	2	7	132	VA	430943	377
p4	26	Horn.	2	7	132	VA	431535	335
p4	27	Der	1	42	93	NA	434869	319
p4	27	Kellner	1	42	93	NA	435402	352
p4	27	hält	1	42	93	NA	435969	327
p4	27	die	1	42	93	NA	436511	319
p4	27	Tasse	1	42	93	NA	437044	335
p4	27	mit	1	42	93	NA	437594	319
p4	27	dem	1	42	93	NA	438128	319
p4	27	heißen	1	42	93	NA	438661	344
p4	27	Kaffee.	1	42	93	NA	439219	352
p4	28	Die	2	28	12	VA	442253	319
